companies,commentsCount,hitsCount,likes
2гис,33.9683257918552,6421.108597285068,47.90950226244344
a1,19.217582417582417,6621.8351648351645,35.60952380952381
abacus,46.75,21887.75,39.25
abbyy,16.816425120772948,6242.410628019324,25.43961352657005
abi,3.8421052631578947,2526.684210526316,7.2105263157894735
accenture,6.8969696969696965,2309.6666666666665,88.3030303030303
acer,26.15,4646.86,25.26
acronis,8.95959595959596,3787.161616161616,20.404040404040405
adapter,10.0,2211.964285714286,33.892857142857146
adfox,10.28,6170.36,13.72
adidas,15.436036036036036,5511.389189189189,33.91171171171171
adindex,13.321428571428571,4280.583333333333,16.238095238095237
admitad,12.99092970521542,2975.3061224489797,62.625850340136054
adobe,12.387795275590552,5267.226377952756,55.45275590551181
adobe systems,32.6875,8440.75,100.6875
adv,8.544554455445544,6084.069306930693,15.801980198019802
aero,8.75,3288.8636363636365,40.86363636363637
agora,12.196428571428571,3937.7678571428573,108.0
airbnb,15.964116452268112,5651.856465809073,30.55517941773866
airbus,20.379679144385026,7126.459893048128,24.02139037433155
ais,16.8,4107.333333333333,19.866666666666667
alibaba,17.070126227208977,5734.562412342216,21.711781206171107
aliexpress,17.744979919678716,4602.4658634538155,42.881526104417674
allianz,12.521739130434783,4305.434782608696,14.434782608695652
alpari,20.0,7475.857142857143,68.85714285714286
alpina digital,9.705882352941176,1398.1764705882354,41.8235294117647
alter,10.701492537313433,4187.850746268657,8.865671641791044
altspace,4.357142857142857,4207.642857142857,25.571428571428573
amazon,15.973523054755043,5398.922730547551,34.12608069164265
amedia premium,80.0,15558.25,33.25
amgen,20.806451612903224,4422.645161290323,73.70967741935483
anex tour,21.875,7278.375,21.625
anytime,35.94117647058823,8171.235294117647,19.45098039215686
apple,18.986799924571,5433.528757307185,35.905053743164245
arzamas,8.679245283018869,4369.622641509434,19.58490566037736
astra linux,27.714285714285715,3110.714285714286,8.857142857142858
atlantis,5.545454545454546,2404.181818181818,13.545454545454545
autodesk,6.604477611940299,3739.2014925373132,23.33582089552239
avenue,15.146341463414634,7617.926829268293,14.268292682926829
avid,16.0,3812.2105263157896,55.73684210526316
awg,5.6,1228.9333333333334,13.866666666666667
axel,7.703703703703703,3826.4814814814813,13.074074074074074
axon,24.11111111111111,8921.111111111111,12.61111111111111
b9,14.80126920507682,4355.52672010688,48.66432865731463
background,5.6,5367.733333333334,9.4
badoo,20.8125,9681.357954545454,24.505681818181817
baza,29.10810810810811,8447.297297297297,21.89189189189189
bbc,30.641752577319586,10514.817010309278,30.079896907216494
bcc,13.75,6187.75,20.75
bcg,10.484536082474227,4705.329896907217,17.876288659793815
beeline,23.489216799091942,6718.213393870602,31.30533484676504
begun,1.5,831.0,1.5
better than,47.111111111111114,5504.666666666667,31.77777777777778
betting insider,28.533333333333335,4452.066666666667,17.266666666666666
betty,12.933333333333334,8129.066666666667,24.666666666666668
bi.zone,6.7272727272727275,2145.5454545454545,20.09090909090909
billa,39.22222222222222,11281.481481481482,46.25925925925926
binance,5.4073359073359075,3505.2664092664095,7.934362934362935
biogen,22.692307692307693,3441.897435897436,65.74358974358974
black star,12.32716049382716,5520.604938271605,257.98148148148147
blizzard,24.760233918128655,6164.941520467836,33.09356725146199
bloomberg,29.20461747397012,6374.3096423721145,42.53689452240833
bloomie,0.0,23.0,2.0
boeing,25.15721649484536,6244.917525773196,33.896907216494846
bookmate,16.92452830188679,6979.981132075472,30.22641509433962
boomstarter,10.377906976744185,3038.0697674418607,28.872093023255815
bork,24.08888888888889,3544.511111111111,87.95555555555555
bosch,12.878787878787879,3140.848484848485,26.73939393939394
boston dynamics,19.4453125,3930.328125,27.1796875
bp,11.23768115942029,5667.214492753623,56.79420289855072
brick,7.583333333333333,3103.5,65.58333333333333
bright,12.753581661891117,3296.0659025787963,13.538681948424069
broccoli,6.6,1667.4,9.4
buro,22.043478260869566,4429.173913043478,14.0
cainiao network,16.705882352941178,2754.1176470588234,22.58823529411765
canon,10.967105263157896,4494.105263157895,33.23026315789474
carprice,23.3,8526.5,22.5
cbre,7.127272727272727,2036.8909090909092,4.709090909090909
cbs,16.060344827586206,6809.724137931034,29.844827586206897
cheil,0.6666666666666666,972.0,5.333333333333333
chevron,15.333333333333334,5224.5,30.944444444444443
chosen,1.3333333333333333,1078.8333333333333,6.333333333333333
chronopay,28.6,7029.0,23.4
cisco,11.564676616915422,3913.4776119402986,18.079601990049753
citadel,14.76056338028169,3577.8591549295775,135.7605633802817
clain,24.2,1507.2,20.8
clipper,18.45,6720.5,76.8
clos,4.555555555555555,1727.111111111111,37.27777777777778
cloudpayments,15.666666666666666,3168.121212121212,82.21212121212122
cnn,21.026119402985074,8300.518656716418,36.5634328358209
coca-cola,12.749700598802395,5450.031137724551,58.964071856287426
cognitive pilot,29.714285714285715,5415.357142857143,66.78571428571429
cognitive technologies,26.887096774193548,5015.435483870968,39.74193548387097
colgate-palmolive,8.571428571428571,4163.314285714286,24.0
colliers international,15.1875,4669.3125,8.25
columbia pictures,7.548387096774194,2425.967741935484,106.58064516129032
coral travel,14.117647058823529,2821.235294117647,36.588235294117645
cortex,11.183333333333334,4062.75,241.05
coub,18.95967741935484,9147.467741935483,32.604838709677416
crm,8.224884080370943,2513.2490340030913,22.44648377125193
cstore,31.428571428571427,11117.0,16.714285714285715
cti,2.2,2076.6,10.933333333333334
cyanogen,9.857142857142858,3575.1428571428573,10.714285714285714
daily mail,14.777777777777779,4998.074074074074,14.11111111111111
danone,11.38888888888889,2858.7277777777776,28.005555555555556
dapp,4.025,2200.4,9.325
dbi,0.6666666666666666,202.66666666666666,1.3333333333333333
delivery club,25.628838451268358,6145.0921228304405,25.128170894526036
deloitte,7.620553359683795,2855.9723320158105,21.476284584980238
denim,5.923076923076923,3459.3076923076924,10.76923076923077
depositphotos,8.058823529411764,4405.196078431372,23.45098039215686
deutsche bank,14.365671641791044,4646.022388059701,14.037313432835822
dialog,8.658333333333333,2866.525,22.6
diamond,14.54054054054054,18337.891891891893,22.324324324324323
dice,9.146341463414634,3347.2926829268295,26.0
didi,23.632911392405063,5934.784810126583,17.841772151898734
digi,10.304347826086957,4498.086956521739,36.19565217391305
digital nomads,11.75,2619.0,10.25
dna,14.442622950819672,10146.327868852459,15.573770491803279
dns,25.027368421052632,6852.684210526316,36.90526315789474
doc+,12.263157894736842,6805.0526315789475,17.894736842105264
dodo pizza,22.218023255813954,4703.956395348837,43.354651162790695
drimsim,37.54545454545455,20050.81818181818,29.0
duran,6.933333333333334,4408.466666666666,15.933333333333334
ebay,14.582278481012658,5514.550632911392,18.39240506329114
edison,10.452830188679245,10708.830188679245,17.962264150943398
effective,11.661538461538461,3309.9076923076923,103.01538461538462
eli lilly,2.1052631578947367,1684.421052631579,6.7894736842105265
elixir,7.7,4917.7,11.85
eora,3.4,3222.8,11.2
epam,20.350515463917525,5944.412371134021,67.77319587628865
epicstars,29.755102040816325,8898.387755102041,18.510204081632654
ericsson,16.37748344370861,6558.092715231788,31.85430463576159
eset,5.6875,2940.375,9.5
esquire,17.409523809523808,5673.8,46.628571428571426
everyone,11.794871794871796,5082.48717948718,25.025641025641026
evil pechenka,53.5,653.5,13.0
evo,20.964285714285715,6575.0,27.357142857142858
evolution,6.1521739130434785,2667.1195652173915,14.967391304347826
faberlic,7.9411764705882355,5243.470588235294,9.92156862745098
fabrika,40.5,11468.5,33.833333333333336
facebook,14.49551649928264,5302.038916786227,30.411585365853657
ferrero,10.029411764705882,3778.1176470588234,17.41176470588235
fibrum,17.72,5604.48,18.96
finch,7.84,2618.76,23.84
finex,5.88,2029.0,5.6
finiko,44.96551724137931,10944.448275862069,78.93103448275862
fitbit,13.0,6621.440366972477,31.660550458715598
flex,13.985294117647058,6161.073529411765,23.5
folks,15.333333333333334,45987.0,20.666666666666668
ford,18.359351988217966,4533.349042709868,54.98969072164948
fox,11.981776765375853,5427.854214123006,51.712984054669704
freelance,9.756756756756756,3986.027027027027,9.202702702702704
fsa,12.083333333333334,13114.416666666666,20.166666666666668
fuel,14.710144927536232,8818.536231884058,16.92753623188406
fura,19.666666666666668,3464.5,11.333333333333334
fury,12.242424242424242,4268.454545454545,17.09090909090909
fusion,22.685185185185187,7192.657407407408,34.00925925925926
gallery,10.481865284974093,4791.445595854922,20.05181347150259
game insight,21.68421052631579,10380.0,23.763157894736842
gameloft,12.708333333333334,7739.833333333333,17.5
garage,13.91139240506329,5088.455696202532,44.50632911392405
garmin,16.771653543307085,4814.944881889764,35.889763779527556
gd,10.704697986577182,5504.3892617449665,18.436241610738254
