companies,probs
контур,"{0: 0.10714285714285714, 31: 0.10714285714285714, 50: 0.10714285714285714}"
крок,"{5: 0.42857142857142855, 20: 0.2857142857142857, 23: 0.14285714285714285}"
лайфхакер,"{55: 0.6666666666666666, 2: 0.16666666666666666, 15: 0.16666666666666666}"
логомашина,"{20: 0.375, 15: 0.25, 0: 0.125}"
макс,{20: 0.12759643916913946}
максимателеком,"{56: 0.3333333333333333, 48: 0.3333333333333333, 15: 0.3333333333333333}"
манго,"{47: 0.2222222222222222, 31: 0.2222222222222222, 29: 0.1111111111111111}"
манифест,"{52: 0.3055555555555556, 20: 0.19444444444444445, 7: 0.1388888888888889}"
мастера,"{20: 0.24561403508771928, 14: 0.10526315789473684}"
мегаплан,{9: 1.0}
мегафон,"{48: 0.20606060606060606, 0: 0.10303030303030303}"
медиалогия,{19: 0.14285714285714285}
модульбанк,"{20: 0.4, 27: 0.2, 51: 0.2}"
мтс,"{48: 0.4444444444444444, 11: 0.1111111111111111, 18: 0.1111111111111111}"
мэйл,"{0: 0.6, 35: 0.2, 20: 0.2}"
одноклассники,{0: 0.09923664122137404}
пик,"{34: 0.1610738255033557, 52: 0.10067114093959731}"
поселок,"{46: 0.26666666666666666, 31: 0.2, 47: 0.2}"
пэк,"{56: 0.3333333333333333, 6: 0.3333333333333333, 18: 0.3333333333333333}"
райффайзенбанк,"{27: 0.38461538461538464, 9: 0.11538461538461539, 56: 0.11538461538461539}"
рбк,"{0: 0.23076923076923078, 17: 0.15384615384615385}"
ремарк,"{47: 0.5, 1: 0.25, 20: 0.25}"
ривьера,"{31: 0.2857142857142857, 29: 0.14285714285714285, 50: 0.14285714285714285}"
россельхозбанк,"{27: 0.3333333333333333, 9: 0.2, 18: 0.13333333333333333}"
ростелеком,{55: 0.17279411764705882}
самокат,"{39: 0.18, 44: 0.16, 31: 0.16}"
сбер,"{20: 0.17679558011049723, 39: 0.11602209944751381}"
сберзвук,{20: 1.0}
сбермаркет,"{27: 0.3333333333333333, 5: 0.3333333333333333, 11: 0.3333333333333333}"
сбис,"{20: 0.5, 9: 0.5}"
сибур,"{12: 0.3333333333333333, 9: 0.16666666666666666}"
ситимобил,"{16: 0.24390243902439024, 39: 0.15853658536585366}"
спортмастер,"{53: 0.3333333333333333, 31: 0.16666666666666666, 25: 0.16666666666666666}"
столото,{42: 0.2}
телфин,{0: 1.0}
тинькофф,{27: 0.3317422434367542}
тнт,"{14: 0.875, 22: 0.125}"
точка,{20: 0.225}
уралсиб,"{27: 0.5, 9: 0.3333333333333333, 53: 0.16666666666666666}"
учи.ру,{5: 1.0}
финам,"{20: 0.21428571428571427, 9: 0.21428571428571427, 0: 0.14285714285714285}"
фоксфорд,{5: 1.0}
хайс,{52: 1.0}
циан,"{0: 0.2, 21: 0.2, 9: 0.2}"
цифра,"{42: 0.2692307692307692, 20: 0.2692307692307692}"
яндекс,{16: 0.2454337899543379}
яндекс.дзен,"{11: 0.17543859649122806, 16: 0.15789473684210525, 20: 0.14035087719298245}"
яндекс.драйв,"{16: 0.358974358974359, 9: 0.1794871794871795, 20: 0.1282051282051282}"
яндекс.лавка,"{16: 0.3157894736842105, 24: 0.21052631578947367, 5: 0.10526315789473684}"
яндекс.маркет,"{56: 0.15625, 9: 0.15625, 16: 0.125}"
яндекс.услуги,"{16: 0.6666666666666666, 15: 0.3333333333333333}"
яндекс.шеф,"{16: 0.5714285714285714, 20: 0.2857142857142857, 11: 0.14285714285714285}"
