companies,neutral,negative,positive
geekbrains,0.28213924133697443,0.054302960794486085,0.020697672932025162
generations,0.2956743830618281,0.056344574652843586,0.012442809911386929
getblogger,0.6203435729783344,0.09225374193194927,0.07127297012958317
gett,0.4819954752463037,0.10044358372976542,0.031573560311260525
globus,0.25426044175984003,0.05456199376937974,0.01936066364964608
goodt,0.291936964293321,0.044966480204547965,0.019515521633319356
goose gaming,0.17061794752424414,0.020675865467637763,0.014378269287672898
green grey,0.15316043628586665,0.0,0.050198077534635836
greensight,0.717495352175249,0.1158438247073108,0.025940599449761223
halyk bank,0.2695443379155992,0.05960094024745271,0.08635369951085724
heineken,0.3807254201042556,0.0579713371902319,0.053803386612563946
helmeton,0.36121555666128796,0.04619543668296597,0.07814746598402657
hezzl,0.76884451135993,0.10425458662211895,0.0
hh.ru,0.47988138324598023,0.11102407010893774,0.025618625351542745
holyweb,0.10474705751269639,0.0241606886727508,0.00724474301185398
honor,0.4049439059318963,0.08283498083008953,0.031169591340416046
hoqu,0.3805343769490719,0.035766254644840956,0.26452979942162835
httpool,0.2527057182598368,0.04173743901602867,0.01567372990437724
ibs,0.3645798906559043,0.056463402209258745,0.029892623820277513
igooods,0.5742421698175434,0.11737347558052813,0.011679948590533598
immigram,0.4455395638942718,0.2227101624011993,0.0
infoshell,0.16580041870474815,0.0374736189842224,0.02889639465138315
infowatch,0.4477240926537723,0.11559443379924539,0.011914782197711755
insense,0.26826638233863465,0.05998207407499574,0.02020008455222835
intel,0.35108466119302423,0.07340060542744317,0.029779230885918176
involta,0.13985387405042474,0.035564927455670255,0.01107452195399964
it-agency,0.0,0.0,0.0
itfb,0.7191994913986751,0.1492899954319,0.0063844088997159
ivi,0.288520010723895,0.05412996221182188,0.02510637640138288
ivideon,0.42580403932958943,0.05677417810838503,0.04788892897871112
jabra,0.21030837261462215,0.028245044804772752,0.019627380370959947
joom,0.33019108431421723,0.0625632056654094,0.027312392613557647
jungheinrich,0.321912981569767,0.014184842507044467,0.11108839263518651
kauri,0.7765238881111145,0.16905923373997211,0.0
kinky russia,0.6040295504388355,0.16345121498618806,0.1148497678102955
kodland,0.12429998259613208,0.021318362704603393,0.010295269682647561
kokoc group,0.4065259109124337,0.059805385286367,0.03129598066934516
kupibilet.ru,0.28565747596560015,0.0837035685792447,0.02218199114477823
kwork,0.22070602197580994,0.04502803809085416,0.025547752640447743
lamoda,0.3085185110605779,0.07036185474940174,0.02633949914199325
leoni,0.028466043372948963,0.0148192384452462,0.0472559668123722
level group,0.2707521202619232,0.028412013713802593,0.02405588954154933
lingualeo,0.4649920769175528,0.08135076162487889,0.05324606231824086
luxoft,0.43083010638857505,0.0908118105160332,0.013863056535530098
macaroon,0.16538148414757517,0.03766624029311867,0.007122635686149175
madanes,0.28994473083452743,0.05188944546336476,0.03539635335857217
madebymad,0.5630627541969984,0.07755187878576225,0.0877177558170679
mail,0.4200006740820873,0.08084761495697776,0.02815747457854277
mail.ru,0.5757745739644198,0.10115163079513602,0.030664952245940152
markswebb,0.2690631682331476,0.060827871378883173,0.021093455955884317
master delivery,0.4301573634147644,0.1778208613395691,0.0
mbm.mos,0.17582619701530416,0.03018446945968795,0.03191057764285919
